target,condition,family,layer,sample_size,original_feature_count,feature_count,n_sampling_repeats,n_projection_seeds,n_runs,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_target_f1_mean,test_target_f1_std,selected_c_mode,selected_c_mean
footwear,trained_fc,trained,fc,200,128,32,10,5,50,0.9987499999999998,0.0007643190913940275,0.9985133226535442,0.0009085147094467404,0.997826,0.0008964351166522584,0.9974132392539429,0.0010651381796022194,0.9963799421076444,0.001489046613368778,1.0,0.39699999999999996
tops,pixels,pixels,pixels,10,784,32,10,5,50,0.7964599999999998,0.03825262962816266,0.785011225346534,0.043764635946197186,0.7951679999999999,0.036934063918705455,0.7836530196185809,0.042448009370391476,0.7358455610830675,0.0611325304475902,1.0,0.622
tops,pixels,pixels,pixels,20,784,32,10,5,50,0.8338300000000001,0.03434022601045281,0.8265470102830449,0.03702461543809798,0.8312200000000002,0.032885819783869494,0.8237320190481081,0.035641515511002,0.789260080805747,0.04716806209886178,1.0,0.6579999999999999
tops,pixels,pixels,pixels,30,784,32,10,5,50,0.8469800000000002,0.02951857941385806,0.8408966035173413,0.030331350942731747,0.8448540000000001,0.027441218884691525,0.8386454767589607,0.02822680395593485,0.8078433979289252,0.03381862414794347,1.0,0.6940000000000001
tops,pixels,pixels,pixels,50,784,32,10,5,50,0.8675200000000001,0.018493782739072064,0.8622885011242044,0.019872969806864944,0.86373,0.0175439186509928,0.8583713273303695,0.018975283918029787,0.8311910825331759,0.024790177812760297,0.1,0.514
tops,pixels,pixels,pixels,80,784,32,10,5,50,0.8807500000000001,0.016887457608823053,0.8760920934781637,0.01762150980676968,0.8774780000000001,0.014880315582565268,0.8727054892731557,0.0156529123383675,0.8481866990458381,0.019383812570913588,0.1,0.4420000000000001
tops,pixels,pixels,pixels,110,784,32,10,5,50,0.8889000000000001,0.015056017848999367,0.8846245030501663,0.015594234128819948,0.8846199999999999,0.012603724749097798,0.8801747613262839,0.013160178397241602,0.8571890510585759,0.016066258136345744,0.1,0.3880000000000001
tops,pixels,pixels,pixels,150,784,32,10,5,50,0.8927200000000002,0.012646754847124434,0.8884610152136275,0.013241088821932813,0.88948,0.009820241486701992,0.8851517408040046,0.010285064383885855,0.8629469345211828,0.012728373718960202,0.1,0.42400000000000004
tops,pixels,pixels,pixels,200,784,32,10,5,50,0.8965700000000001,0.012229526831836646,0.8923420490328824,0.01299460166698162,0.8924040000000001,0.009431232524902333,0.8880599491453423,0.010058894422000003,0.8660948380394199,0.012820359183856558,0.1,0.298
tops,random_conv1,random,conv1,10,3136,32,10,5,50,0.82973,0.03951132748972123,0.8212159926290122,0.043553596529729885,0.828664,0.039943147147935565,0.8200909870036297,0.044105027205277744,0.7827697220186985,0.059655786364781346,0.1,0.55
tops,random_conv1,random,conv1,20,3136,32,10,5,50,0.8617200000000002,0.026908605709409953,0.8565744569932963,0.027933589503634535,0.8588740000000001,0.02815987744929271,0.8536132324160755,0.029114262922129264,0.82713557959258,0.0353626597995673,1.0,0.5662
tops,random_conv1,random,conv1,30,3136,32,10,5,50,0.8752000000000001,0.021709585957566748,0.8712114734643552,0.021743887621621886,0.8725280000000002,0.021621739249266355,0.868350520324158,0.021779066072938492,0.8454561452695163,0.024719165562731214,1.0,0.64
tops,random_conv1,random,conv1,50,3136,32,10,5,50,0.88995,0.016675856310051054,0.886237003472827,0.017232540862198383,0.8869940000000001,0.016319131254388494,0.883125576050738,0.01699706291560753,0.862078417523113,0.020673912968530748,0.1,0.514
tops,random_conv1,random,conv1,80,3136,32,10,5,50,0.90149,0.012395888884000613,0.8980207964791854,0.012807882102252722,0.8968979999999999,0.012480932232319632,0.8933006262880699,0.012906567832555638,0.8737740494526439,0.01535348343824827,0.1,0.37000000000000016
tops,random_conv1,random,conv1,110,3136,32,10,5,50,0.90685,0.011325990518470781,0.9035377323336298,0.011613969028640776,0.9020460000000001,0.011294268186896885,0.8986090709391193,0.011546107201156912,0.880003767466414,0.01339237823784028,0.1,0.316
tops,random_conv1,random,conv1,150,3136,32,10,5,50,0.91012,0.008830928950141604,0.9068099258331064,0.009129527431867627,0.905104,0.00880934012678519,0.9017110641712679,0.00904384074054503,0.8835010089934288,0.01063379846089493,0.1,0.316
tops,random_conv1,random,conv1,200,3136,32,10,5,50,0.9123799999999999,0.008716369774213134,0.9090555250941739,0.009199167561690268,0.906808,0.009069051207040267,0.9033774204048118,0.009457286328007101,0.8852295085102106,0.011481580316680026,0.1,0.27820000000000006
tops,random_conv2,random,conv2,10,1568,32,10,5,50,0.82749,0.04969401167060642,0.8209548293255103,0.05168602069176726,0.8238880000000001,0.047265401938502156,0.81746232669142,0.04910761131732893,0.7846776283035637,0.05960921807263153,1.0,0.7101999999999999
tops,random_conv2,random,conv2,20,1568,32,10,5,50,0.8684400000000001,0.02565839958742078,0.864513398171201,0.026339363275822952,0.8632400000000001,0.023408615194114378,0.8592651839874621,0.024023278698516996,0.8365227808016509,0.02876900486139153,1.0,0.64
tops,random_conv2,random,conv2,30,1568,32,10,5,50,0.87816,0.029932140939540053,0.8743686218282781,0.030744027083198202,0.87252,0.026884355514472942,0.8686553500616732,0.02763666794130459,0.8466765090496424,0.032569549985639636,1.0,0.64
tops,random_conv2,random,conv2,50,1568,32,10,5,50,0.8999300000000001,0.017767204941368003,0.896489268612852,0.018507296417707115,0.8935580000000001,0.016467061619103347,0.8899845309826345,0.01725030388059704,0.8704073234374259,0.021131500838682524,1.0,0.6579999999999999
tops,random_conv2,random,conv2,80,1568,32,10,5,50,0.91,0.013905658809951286,0.906855965522345,0.014412120101336984,0.9042619999999999,0.012505050245107101,0.9010089384626948,0.013027240245864163,0.8831393826248789,0.01571672985686603,1.0,0.64
