source_seed,repeat,sampling_seed,projection_seed,task,task_category,sample_size,condition,family,layer,training_class_counts,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_class_counts,test_accuracy,test_macro_f1,test_balanced_accuracy,test_per_class_f1,test_confusion_matrix
42,8,49,0,footwear_three_way,within_footwear,200,random_conv1,random,conv1,"[67, 66, 67]",3136,32,1.0,0.8616666666666667,0.8615894193051492,3000,"[1000, 1000, 1000]",0.842,0.841831199078638,0.8420000000000001,"[0.8369098712446352, 0.8398645379777455, 0.8487191880135331]","[[780, 118, 102], [43, 868, 89], [41, 81, 878]]"
42,8,49,0,footwear_three_way,within_footwear,200,fine_conv1,fine,conv1,"[67, 66, 67]",3136,32,0.1,0.855,0.8552965364723422,3000,"[1000, 1000, 1000]",0.8416666666666667,0.8412379298693398,0.8416666666666667,"[0.8284960422163589, 0.8314496314496315, 0.863768115942029]","[[785, 125, 90], [68, 846, 86], [42, 64, 894]]"
42,8,49,0,footwear_three_way,within_footwear,200,coarse_conv1,coarse,conv1,"[67, 66, 67]",3136,32,0.1,0.8716666666666667,0.8713153693996429,3000,"[1000, 1000, 1000]",0.853,0.8522356480530521,0.8530000000000001,"[0.8318009734991888, 0.8483389504092441, 0.8765670202507232]","[[769, 138, 93], [47, 881, 72], [33, 58, 909]]"
42,8,49,0,footwear_three_way,within_footwear,200,random_conv2,random,conv2,"[67, 66, 67]",1568,32,0.1,0.8466666666666667,0.8461632312064052,3000,"[1000, 1000, 1000]",0.836,0.8350584242532445,0.836,"[0.8120300751879699, 0.8365432098765432, 0.8566019876952201]","[[756, 131, 113], [58, 847, 95], [48, 47, 905]]"
42,8,49,0,footwear_three_way,within_footwear,200,fine_conv2,fine,conv2,"[67, 66, 67]",1568,32,0.1,0.9016666666666666,0.9020352192362608,3000,"[1000, 1000, 1000]",0.903,0.9032600851850147,0.903,"[0.912008281573499, 0.8821811100292113, 0.9155908639523337]","[[881, 87, 32], [34, 906, 60], [17, 61, 922]]"
42,8,49,0,footwear_three_way,within_footwear,200,coarse_conv2,coarse,conv2,"[67, 66, 67]",1568,32,0.1,0.8516666666666667,0.8510733217865952,3000,"[1000, 1000, 1000]",0.8603333333333333,0.8597352103293742,0.8603333333333333,"[0.8361018826135105, 0.8372960372960373, 0.9058077110785749]","[[755, 193, 52], [33, 898, 69], [18, 54, 928]]"
42,8,49,0,footwear_three_way,within_footwear,200,random_fc,random,fc,"[67, 66, 67]",128,32,1.0,0.8433333333333334,0.8430167571861874,3000,"[1000, 1000, 1000]",0.854,0.8535880039548003,0.8540000000000001,"[0.8426610348468849, 0.8256611165523996, 0.8924418604651163]","[[798, 137, 65], [79, 843, 78], [17, 62, 921]]"
42,8,49,0,footwear_three_way,within_footwear,200,fine_fc,fine,fc,"[67, 66, 67]",128,32,0.1,0.9633333333333334,0.9634946477729983,3000,"[1000, 1000, 1000]",0.9543333333333334,0.9545759091888063,0.9543333333333331,"[0.9665809768637532, 0.9423728813559322, 0.9547738693467337]","[[940, 44, 16], [3, 973, 24], [2, 48, 950]]"
42,8,49,0,footwear_three_way,within_footwear,200,coarse_fc,coarse,fc,"[67, 66, 67]",128,32,1.0,0.8733333333333333,0.8734740843802591,3000,"[1000, 1000, 1000]",0.865,0.8649655580413657,0.8649999999999999,"[0.8650918635170604, 0.8399412628487518, 0.8898635477582846]","[[824, 132, 44], [47, 858, 95], [34, 53, 913]]"
42,8,49,1,footwear_three_way,within_footwear,200,constant,constant,constant,"[67, 66, 67]",0,0,,,,3000,"[1000, 1000, 1000]",0.3333333333333333,0.16666666666666666,0.3333333333333333,"[0.5, 0.0, 0.0]","[[1000, 0, 0], [1000, 0, 0], [1000, 0, 0]]"
