task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
footwear_three_way,within_footwear,fine_conv1,fine,conv1,10,3136,32,42,10,5,50,0.69708,0.037077082175863536,0.6837525469864576,0.04346352395014394,0.69708,0.03707708217586353,0.1
footwear_three_way,within_footwear,fine_conv1,fine,conv1,20,3136,32,42,10,5,50,0.75458,0.03213377720076194,0.7496546562025191,0.03478888120340513,0.75458,0.032133777200761944,0.1
footwear_three_way,within_footwear,fine_conv1,fine,conv1,30,3136,32,42,10,5,50,0.7762533333333334,0.03023982447248965,0.772985667497908,0.03276648563449284,0.7762533333333334,0.03023982447248964,0.1
footwear_three_way,within_footwear,fine_conv1,fine,conv1,50,3136,32,42,10,5,50,0.7969466666666668,0.0206312358126328,0.7945746279599584,0.02180622656014105,0.7969466666666668,0.0206312358126328,0.1
footwear_three_way,within_footwear,fine_conv1,fine,conv1,80,3136,32,42,10,5,50,0.8114133333333333,0.017039577778934358,0.8098002722072993,0.018186279046739428,0.8114133333333333,0.01703957777893435,0.1
footwear_three_way,within_footwear,fine_conv1,fine,conv1,110,3136,32,42,10,5,50,0.8191266666666667,0.016984572164466714,0.8179752008273222,0.01791012777966578,0.8191266666666667,0.016984572164466725,0.1
footwear_three_way,within_footwear,fine_conv1,fine,conv1,150,3136,32,42,10,5,50,0.8294,0.013918616711313763,0.8287241935736178,0.014473169396308789,0.8294,0.013918616711313744,0.1
footwear_three_way,within_footwear,fine_conv1,fine,conv1,200,3136,32,42,10,5,50,0.8366666666666667,0.011095749017461758,0.8362945103093098,0.01131086918984858,0.8366666666666667,0.011095749017461767,0.1
footwear_three_way,within_footwear,coarse_conv1,coarse,conv1,10,3136,32,42,10,5,50,0.7267133333333333,0.040928786669424885,0.7159641691874751,0.048909982074844774,0.7267133333333333,0.0409287866694249,0.1
footwear_three_way,within_footwear,coarse_conv1,coarse,conv1,20,3136,32,42,10,5,50,0.7705,0.03254100849021263,0.7674411470966112,0.03433097099347718,0.7705,0.03254100849021263,0.1
footwear_three_way,within_footwear,coarse_conv1,coarse,conv1,30,3136,32,42,10,5,50,0.7916799999999999,0.024410878211500075,0.7893206272409085,0.027096776857121717,0.7916799999999999,0.02441087821150008,0.1
footwear_three_way,within_footwear,coarse_conv1,coarse,conv1,50,3136,32,42,10,5,50,0.8083999999999999,0.019729347823303225,0.8064933624241502,0.02077515081226169,0.8084,0.019729347823303225,0.1
footwear_three_way,within_footwear,coarse_conv1,coarse,conv1,80,3136,32,42,10,5,50,0.8213266666666666,0.016247028683518835,0.8203192444770839,0.016811654429225442,0.8213266666666666,0.016247028683518832,0.1
footwear_three_way,within_footwear,coarse_conv1,coarse,conv1,110,3136,32,42,10,5,50,0.8307066666666667,0.012391870643687604,0.8300309573243877,0.012809423662195278,0.8307066666666667,0.012391870643687604,0.1
footwear_three_way,within_footwear,coarse_conv1,coarse,conv1,150,3136,32,42,10,5,50,0.8407333333333332,0.011421029257341562,0.8403953531020185,0.011674307136840999,0.8407333333333332,0.011421029257341566,0.1
footwear_three_way,within_footwear,coarse_conv1,coarse,conv1,200,3136,32,42,10,5,50,0.8459399999999999,0.010556551092807565,0.8457177282893443,0.010677487756596256,0.8459399999999999,0.010556551092807566,0.1
