task,task_category,family,layer,examples_per_class,n_probe_train,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
pullover_vs_non_tops,cross_pooled,random,conv2,10,20,1,0.9505714285714286,0.0,0.905439028397339,0.0,0.93325,0.0
pullover_vs_non_tops,cross_pooled,random,conv2,30,60,1,0.9495714285714286,0.0,0.9086532640931729,0.0,0.9626666666666667,0.0
pullover_vs_non_tops,cross_pooled,random,conv2,100,200,1,0.9722857142857143,0.0,0.946575951215582,0.0,0.9734166666666666,0.0
pullover_vs_non_tops,cross_pooled,random,fc,5,10,1,0.7114285714285714,0.0,0.6453252818660686,0.0,0.8229166666666666,0.0
pullover_vs_non_tops,cross_pooled,random,fc,10,20,1,0.935,0.0,0.8856340536041989,0.0,0.9508333333333333,0.0
pullover_vs_non_tops,cross_pooled,random,fc,30,60,1,0.944,0.0,0.8996352781119611,0.0,0.95775,0.0
pullover_vs_non_tops,cross_pooled,random,fc,100,200,1,0.967,0.0,0.9371291098636728,0.0,0.9690833333333333,0.0
pullover_vs_shirt,within_tops,coarse,conv1,5,10,1,0.669,0.0,0.668136823878909,0.0,0.669,0.0
pullover_vs_shirt,within_tops,coarse,conv1,10,20,1,0.616,0.0,0.6157786885245902,0.0,0.616,0.0
pullover_vs_shirt,within_tops,coarse,conv1,30,60,1,0.749,0.0,0.7487887313230427,0.0,0.749,0.0
pullover_vs_shirt,within_tops,coarse,conv1,100,200,1,0.8555,0.0,0.8554696124860252,0.0,0.8554999999999999,0.0
pullover_vs_shirt,within_tops,coarse,conv2,5,10,1,0.6975,0.0,0.6925012230064994,0.0,0.6975,0.0
pullover_vs_shirt,within_tops,coarse,conv2,10,20,1,0.6545,0.0,0.6425962203645157,0.0,0.6545,0.0
pullover_vs_shirt,within_tops,coarse,conv2,30,60,1,0.766,0.0,0.7659810444646016,0.0,0.766,0.0
pullover_vs_shirt,within_tops,coarse,conv2,100,200,1,0.8455,0.0,0.8453264175721202,0.0,0.8455,0.0
pullover_vs_shirt,within_tops,coarse,fc,5,10,1,0.6385,0.0,0.6357747758163519,0.0,0.6385000000000001,0.0
pullover_vs_shirt,within_tops,coarse,fc,10,20,1,0.5905,0.0,0.5877618108883733,0.0,0.5905,0.0
pullover_vs_shirt,within_tops,coarse,fc,30,60,1,0.655,0.0,0.6537535126455238,0.0,0.655,0.0
pullover_vs_shirt,within_tops,coarse,fc,100,200,1,0.768,0.0,0.7679665871885551,0.0,0.768,0.0
pullover_vs_shirt,within_tops,constant,constant,5,10,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
pullover_vs_shirt,within_tops,constant,constant,10,20,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
pullover_vs_shirt,within_tops,constant,constant,30,60,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
pullover_vs_shirt,within_tops,constant,constant,100,200,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.0
pullover_vs_shirt,within_tops,fine,conv1,5,10,1,0.6765,0.0,0.67527179675327,0.0,0.6765,0.0
pullover_vs_shirt,within_tops,fine,conv1,10,20,1,0.6615,0.0,0.6614382971296519,0.0,0.6615,0.0
pullover_vs_shirt,within_tops,fine,conv1,30,60,1,0.768,0.0,0.7679886314429407,0.0,0.768,0.0
pullover_vs_shirt,within_tops,fine,conv1,100,200,1,0.853,0.0,0.8528675808227404,0.0,0.853,0.0
pullover_vs_shirt,within_tops,fine,conv2,5,10,1,0.7325,0.0,0.7287551254507545,0.0,0.7324999999999999,0.0
pullover_vs_shirt,within_tops,fine,conv2,10,20,1,0.675,0.0,0.6745544650626708,0.0,0.675,0.0
pullover_vs_shirt,within_tops,fine,conv2,30,60,1,0.7595,0.0,0.759388777462382,0.0,0.7595000000000001,0.0
pullover_vs_shirt,within_tops,fine,conv2,100,200,1,0.875,0.0,0.8749448506791495,0.0,0.875,0.0
pullover_vs_shirt,within_tops,fine,fc,5,10,1,0.855,0.0,0.8548221571424997,0.0,0.855,0.0
pullover_vs_shirt,within_tops,fine,fc,10,20,1,0.881,0.0,0.8806773515586145,0.0,0.881,0.0
pullover_vs_shirt,within_tops,fine,fc,30,60,1,0.915,0.0,0.9149782344280135,0.0,0.915,0.0
pullover_vs_shirt,within_tops,fine,fc,100,200,1,0.918,0.0,0.918,0.0,0.918,0.0
pullover_vs_shirt,within_tops,pixels,pixels,5,10,1,0.646,0.0,0.6407400754445842,0.0,0.646,0.0
pullover_vs_shirt,within_tops,pixels,pixels,10,20,1,0.669,0.0,0.6684150842085439,0.0,0.669,0.0
pullover_vs_shirt,within_tops,pixels,pixels,30,60,1,0.7735,0.0,0.7734999433749858,0.0,0.7735000000000001,0.0
pullover_vs_shirt,within_tops,pixels,pixels,100,200,1,0.812,0.0,0.811698717948718,0.0,0.812,0.0
pullover_vs_shirt,within_tops,random,conv1,5,10,1,0.6215,0.0,0.6199187670506223,0.0,0.6215,0.0
pullover_vs_shirt,within_tops,random,conv1,10,20,1,0.6535,0.0,0.6533681932554853,0.0,0.6535,0.0
pullover_vs_shirt,within_tops,random,conv1,30,60,1,0.761,0.0,0.7609462128979021,0.0,0.761,0.0
pullover_vs_shirt,within_tops,random,conv1,100,200,1,0.843,0.0,0.8428854635028936,0.0,0.843,0.0
pullover_vs_shirt,within_tops,random,conv2,5,10,1,0.6475,0.0,0.6112145574504939,0.0,0.6475,0.0
pullover_vs_shirt,within_tops,random,conv2,10,20,1,0.5835,0.0,0.5828817264390143,0.0,0.5835,0.0
pullover_vs_shirt,within_tops,random,conv2,30,60,1,0.733,0.0,0.7327431661827015,0.0,0.733,0.0
