seed,task,layer,examples_per_class,task_category,family,n_probe_train,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,shirt_vs_non_tops,conv2,5,cross_pooled,fine,10,fine_minus_random,0.015000000000000013,0.005833654257972221,-0.03874999999999995
42,shirt_vs_non_tops,fc,5,cross_pooled,fine,10,fine_minus_random,0.07285714285714284,0.10046746362924741,0.057916666666666616
42,shirt_vs_non_tops,conv1,10,cross_pooled,fine,20,fine_minus_random,-0.008857142857142897,-0.009127496071376973,0.006916666666666682
42,shirt_vs_non_tops,conv2,10,cross_pooled,fine,20,fine_minus_random,-0.00914285714285723,-0.015647652217706476,-0.010750000000000037
42,shirt_vs_non_tops,fc,10,cross_pooled,fine,20,fine_minus_random,0.016142857142857125,0.029460563748925805,0.03483333333333327
42,shirt_vs_non_tops,conv1,30,cross_pooled,fine,60,fine_minus_random,-0.009571428571428564,-0.011555538096229223,0.00275000000000003
42,shirt_vs_non_tops,conv2,30,cross_pooled,fine,60,fine_minus_random,0.006571428571428561,0.008097790044951259,-0.007000000000000006
42,shirt_vs_non_tops,fc,30,cross_pooled,fine,60,fine_minus_random,0.040999999999999925,0.06968506431591392,0.044749999999999956
42,shirt_vs_non_tops,conv1,100,cross_pooled,fine,200,fine_minus_random,0.005857142857142894,0.010073179499319851,0.006333333333333302
42,shirt_vs_non_tops,conv2,100,cross_pooled,fine,200,fine_minus_random,0.02185714285714291,0.03403412928394023,0.011916666666666687
42,shirt_vs_non_tops,fc,100,cross_pooled,fine,200,fine_minus_random,0.03942857142857137,0.06701761611889978,0.03925000000000001
42,tops_four_way,conv1,5,within_tops,coarse,20,coarse_minus_random,0.035499999999999976,0.04089243373318885,0.035499999999999976
42,tops_four_way,conv2,5,within_tops,coarse,20,coarse_minus_random,0.013249999999999984,0.018295019065590334,0.013249999999999984
42,tops_four_way,fc,5,within_tops,coarse,20,coarse_minus_random,-0.01974999999999999,-0.025118363245404562,-0.019750000000000045
42,tops_four_way,conv1,10,within_tops,coarse,40,coarse_minus_random,0.007249999999999979,0.009805711218458413,0.007249999999999979
42,tops_four_way,conv2,10,within_tops,coarse,40,coarse_minus_random,0.021499999999999964,0.020241381628612443,0.021499999999999964
42,tops_four_way,fc,10,within_tops,coarse,40,coarse_minus_random,0.0015000000000000568,-0.005282585553939345,0.0015000000000000568
42,tops_four_way,conv1,30,within_tops,coarse,120,coarse_minus_random,-0.0045000000000000595,-0.0034114259313848816,-0.0044999999999999485
42,tops_four_way,conv2,30,within_tops,coarse,120,coarse_minus_random,0.014250000000000096,0.012950823624914398,0.014249999999999985
42,tops_four_way,fc,30,within_tops,coarse,120,coarse_minus_random,0.00725000000000009,0.010368625332216275,0.00725000000000009
42,tops_four_way,conv1,100,within_tops,coarse,400,coarse_minus_random,0.010750000000000037,0.010786720265804739,0.010749999999999926
42,tops_four_way,conv2,100,within_tops,coarse,400,coarse_minus_random,0.014499999999999957,0.013957755647955206,0.014500000000000068
42,tops_four_way,fc,100,within_tops,coarse,400,coarse_minus_random,0.00824999999999998,0.006559807086275793,0.00825000000000009
42,tshirt_vs_pullover,conv1,5,within_tops,coarse,10,coarse_minus_random,0.03400000000000003,0.033712624970234195,0.03400000000000003
