source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,5,46,1,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,-0.026000000000000023,-0.008508548901736634,-0.025999999999999912
42,5,46,1,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.06125000000000003,-0.04362577543730373,-0.06124999999999997
42,5,46,1,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.18499999999999994,0.17839765278685082,0.18499999999999994
42,5,46,1,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.011249999999999982,-0.03551145467591105,-0.011249999999999982
42,5,46,2,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.048750000000000016,-0.04689076864117092,-0.04874999999999996
42,5,46,2,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.09975,-0.09071768449088202,-0.09975
42,5,46,2,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.049250000000000016,0.0527126624118871,0.04925000000000007
42,5,46,2,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.006250000000000033,0.010158756013106174,0.006250000000000033
42,5,46,2,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.22249999999999998,0.22686326389829325,0.22250000000000003
42,5,46,2,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.022749999999999992,-0.04790624996784265,-0.022750000000000048
42,5,46,3,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,0.00874999999999998,-0.00076804337624925,0.008750000000000036
42,5,46,3,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,0.036250000000000004,0.026175679878941482,0.036250000000000004
42,5,46,3,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.03325,0.026177526836004106,0.03325000000000006
42,5,46,3,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.07450000000000001,0.077614065792728,0.07450000000000001
42,5,46,3,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.2695,0.25730546859021175,0.2695
42,5,46,3,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.07150000000000001,0.03987135706523259,0.07150000000000001
42,5,46,4,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.011250000000000038,-0.01946883495517554,-0.011250000000000038
42,5,46,4,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.03875000000000001,-0.03858048808790232,-0.03875000000000001
42,5,46,4,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.016000000000000014,0.019647647088232856,0.01599999999999996
42,5,46,4,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.015000000000000013,-0.012785850973967727,-0.015000000000000013
42,5,46,4,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.30374999999999996,0.2981975327351475,0.30374999999999996
42,5,46,4,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.026249999999999996,0.00609005758968495,0.026249999999999996
42,6,47,0,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.0030000000000000027,-0.01741323379279819,-0.003000000000000058
42,6,47,0,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,0.0042500000000000315,0.013795839274569566,0.0042499999999999205
42,6,47,0,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.005500000000000005,-0.0074701622061280615,0.005500000000000005
42,6,47,0,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.026249999999999996,-0.03151677041566975,-0.026249999999999996
42,6,47,0,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.07325000000000004,0.055909513745120765,0.07325000000000004
42,6,47,0,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.062,-0.04970979841066159,-0.062
